source_path,source_type,title,target_wiki_page,priority,status,assigned,word_count,images,links,links_verified,difficulty,keywords,notes
df-docs/df-docs/docs/system-settings/the-system-api/04-role-management.md,df-docs,Role Management,System_Settings/04_Role_Management,P2-Medium,Not Started,,573,0,0,0,advanced,"role management, system API, verb mask, permissions, RBAC, access control, role assignment",Create and configure roles via the System API using verb masks to control API endpoint access permissions
df-docs/df-docs/docs/system-settings/the-system-api/03-service-management.md,df-docs,Service Management,System_Settings/03_Service_Management,P2-Medium,Not Started,,643,0,0,0,intermediate,"service management, system API, API automation, service types, database API, scripted deployment",Create and manage API services programmatically using DreamFactory's System API for automated deployments
df-docs/df-docs/docs/system-settings/config/cache.md,df-docs,Cache,System_Settings/Cache,P2-Medium,Skip-EmptyDraft,,0,0,0,0,,,
df-docs/df-docs/docs/system-settings/config/system-info.md,df-docs,System Info,System_Settings/System_Info,P2-Medium,Skip-EmptyDraft,,0,0,0,0,,,
df-docs/df-docs/docs/system-settings/config/email-templates.md,df-docs,Email Templates,System_Settings/Email_Templates,P2-Medium,Skip-EmptyDraft,,0,0,0,0,,,
df-docs/df-docs/docs/system-settings/config/cors-ssl.md,df-docs,CORS and SSL,System_Settings/Cors_Ssl,P2-Medium,Not Started,,1933,2,6,0,,,
df-docs/df-docs/docs/system-settings/config/global-lookup-keys.md,df-docs,Global Lookup Keys,System_Settings/Global_Lookup_Keys,P2-Medium,Skip-EmptyDraft,,0,0,0,0,,,
df-docs/df-docs/docs/api-generation-and-connections/api-types/file/converting-excel-to-json.md,df-docs,Converting Excel to a JSON Response,Converting_Excel_To_Json,P2-Medium,Not Started,,471,6,6,0,,,
df-docs/df-docs/docs/api-generation-and-connections/api-types/file/creating-aws-s3-rest-api.md,df-docs,Creating an AWS S3 REST API,Creating_Aws_S3_Rest_Api,P2-Medium,Not Started,,481,6,6,0,intermediate,"AWS S3, file storage, REST API, cloud storage, S3 bucket, file upload, file download",Generate a REST API for AWS S3 buckets to manage files with role-based access and rate limiting
df-docs/df-docs/docs/api-generation-and-connections/api-types/file/creating-sftp-rest-api.md,df-docs,Creating an SFTP REST API,Creating_Sftp_Rest_Api,P2-Medium,Not Started,,906,6,6,0,,,
df-docs/df-docs/docs/api-generation-and-connections/api-types/file/index.md,df-docs,File System APIs,File,P2-Medium,Not Started,,137,0,3,0,beginner,"file API, SFTP, AWS S3, file storage, REST API, file management, Excel to JSON","Create REST APIs for file operations with SFTP, AWS S3, Azure Blob, and other file storage services"
df-docs/df-docs/docs/api-generation-and-connections/api-types/database/generating-database-backed-api.md,df-docs,Generating a Database-backed API,Generating_Database_Backed_Api,P2-Medium,Not Started,,3725,11,8,0,,"database API, REST API, MySQL API, PostgreSQL API, SQL Server API, Oracle API, MongoDB API, auto-generated API, CRUD API","Generate REST APIs from MySQL, PostgreSQL, SQL Server, Oracle, MongoDB and 15+ other databases in minutes"
df-docs/df-docs/docs/api-generation-and-connections/api-types/database/sql-server.md,df-docs,Microsoft SQL Server,Sql_Server,P2-Medium,Not Started,,2434,0,12,0,intermediate,"SQL Server, MSSQL, database API, REST API, RBAC, rate limiting, stored procedures, Azure","Connect Microsoft SQL Server to DreamFactory and generate secure REST APIs with RBAC, rate limiting, and SSO"
df-docs/df-docs/docs/api-generation-and-connections/api-types/database/querying-filtering.md,df-docs,Querying and Filtering Records,Querying_Filtering,P2-Medium,Not Started,,516,0,1,0,intermediate,"database query, API filtering, REST API query, pagination, sorting, SQL filter, LIKE operator, IN operator","Learn how to query, filter, sort, and paginate database records using DreamFactory's REST API"
df-docs/df-docs/docs/api-generation-and-connections/api-types/network/placeholder.md,df-docs,Network APIs (Coming Soon),Placeholder,P2-Medium,Skip-EmptyDraft,,43,0,0,0,,,
df-docs/df-docs/docs/api-generation-and-connections/api-types/scripting/scripted-services-and-endpoints.md,df-docs,Creating Scripted Services and Endpoints,Scripted_Services_And_Endpoints,P2-Medium,Not Started,,389,0,0,0,intermediate,"scripted services, PHP API, Python API, Node.js, custom endpoints, business logic, API scripting","Build custom API services using PHP, Python, or Node.js scripts to add business logic and integrations"
df-docs/df-docs/docs/api-generation-and-connections/api-types/scripting/scripting-resources.md,df-docs,Scripting Resources,Scripting_Resources,P2-Medium,Not Started,,1124,0,3,0,,,
df-docs/df-docs/docs/api-generation-and-connections/api-types/utility/placeholder.md,df-docs,Utility APIs (Coming Soon),Placeholder,P2-Medium,Skip-EmptyDraft,,47,0,0,0,,,
guide/dreamfactory-book-v2/content/en/docs/Using Remote HTTP and SOAP Connectors/_index.md,guide,Using DreamFactory's Remote HTTP and SOAP Connectors,Remote_HTTP_And_SOAP_Connectors,P2-Medium,Converted,,1178,8,12,0,intermediate,"HTTP connector, SOAP connector, remote API, REST proxy",Migrated from guide - GUIDE-UNIQUE
guide/dreamfactory-book-v2/content/en/docs/Integrating Salesforce Data/_index.md,guide,Integrating Salesforce Data using DreamFactory,Integrating_Salesforce_Data,P2-Medium,Converted,,1740,3,2,0,intermediate,"Salesforce, CRM, database connector, OAuth",Migrated from guide - GUIDE-UNIQUE
guide/dreamfactory-book-v2/content/en/docs/Demo DreamFactory Applications/_index.md,guide,Demo DreamFactory Applications,Demo_DreamFactory_Applications,P2-Medium,Converted,,1252,5,14,0,beginner,"demo apps, sample applications, Tabulator, PWA, dashboard",Migrated from guide - GUIDE-UNIQUE
guide/dreamfactory-book-v2/content/en/docs/Appendices/A Configuration Parameter Reference/_index.md,guide,Appendix A: Configuration Parameter Reference,Appendix_Configuration_Parameters,P2-Medium,Converted,,1289,0,0,0,reference,"configuration parameters, .env, environment variables, DreamFactory config",Migrated from guide - GUIDE-UNIQUE
guide/dreamfactory-book-v2/content/en/docs/Appendices/D Architecture FAQ/_index.md,guide,Appendix D: Architecture FAQ,Architecture_FAQ,P2-Medium,Converted,,1144,4,2,0,intermediate,"architecture, FAQ, system design, API call anatomy",Migrated from guide - GUIDE-UNIQUE
guide/dreamfactory-book-v2/content/en/docs/Appendices/C Leveraging an API Gateway for GDPR Readiness/_index.md,guide,Appendix C: Leveraging an API Gateway for GDPR Readiness,GDPR_API_Gateway,P2-Medium,Converted,,1328,3,3,0,intermediate,"GDPR, data protection, API gateway, compliance, privacy",Migrated from guide - GUIDE-UNIQUE
guide/dreamfactory-book-v2/content/en/docs/Appendices/E Scalability/_index.md,guide,Appendix E: Scalability,Scalability,P2-Medium,Converted,,2836,12,0,0,advanced,"scalability, load balancing, horizontal scaling, performance, multi-server",Migrated from guide - GUIDE-UNIQUE
df-docs/df-docs/docs/admin-settings/users.md,df-docs,Users,Admin_Settings/Users,P3-Low,Skip-EmptyDraft,,0,0,0,0,,,
df-docs/df-docs/docs/admin-settings/logs.md,df-docs,Logs,Admin_Settings/Logs,P3-Low,Skip-EmptyDraft,,0,0,0,0,,,
df-docs/df-docs/docs/admin-settings/schema.md,df-docs,Schema,Admin_Settings/Schema,P3-Low,Skip-EmptyDraft,,0,0,0,0,,,
df-docs/df-docs/docs/admin-settings/files.md,df-docs,Files,Admin_Settings/Files,P3-Low,Skip-EmptyDraft,,0,0,0,0,,,
df-docs/df-docs/docs/admin-settings/admins.md,df-docs,Admins,Admin_Settings/Admins,P3-Low,Skip-EmptyDraft,,0,0,0,0,,,
df-docs/df-docs/docs/AI/mcp-service-creation.md,df-docs,Creating an MCP Server Service,AI_Services/Mcp_Service_Creation,P3-Low,Not Started,,862,9,10,0,,"MCP, Model Context Protocol, AI integration, ChatGPT, Claude, Cursor, database API, AI assistant",Step-by-step guide to creating an MCP (Model Context Protocol) server service in DreamFactory for AI assistant integration
df-docs/df-docs/docs/AI/mcp-service.md,df-docs,MCP Server,AI_Services/Mcp_Service,P3-Low,Not Started,,557,0,0,0,advanced,"MCP, Model Context Protocol, AI integration, Claude, ChatGPT, database tools, streaming API, JSON-RPC",Integrate DreamFactory with AI assistants and dev tools using the Model Context Protocol (MCP) for database operations.
df-docs/df-docs/docs/AI/mcp-custom-login-page.md,df-docs,Custom Login Page for MCP,AI_Services/Mcp_Custom_Login_Page,P3-Low,Not Started,,459,0,0,0,,,
df-docs/df-docs/docs/upgrades-and-migrations/upgrades.md,df-docs,upgrades,Upgrades,P3-Low,Skip-EmptyDraft,,2,0,0,0,,,
df-docs/df-docs/docs/upgrades-and-migrations/upgrading-php-windows.md,df-docs,Upgrading PHP On Windows,Upgrading_Php_Windows,P3-Low,Not Started,,413,0,9,0,,,
df-docs/df-docs/docs/upgrades-and-migrations/upgrading-migrating-dreamfactory.md,df-docs,Upgrading and Migrating DreamFactory,Upgrading_Migrating_Dreamfactory,P3-Low,Not Started,,889,0,3,0,,,
df-docs/df-docs/docs/upgrades-and-migrations/upgrading-to-php-8_1.md,df-docs,Upgrading to PHP 8.1,Upgrading_To_Php_8_1,P3-Low,Not Started,,2162,0,58,0,,,
guide/dreamfactory-book-v2/content/en/docs/_index.md,guide,_index,Docs,P3-Low,Not Started,,1684,0,30,0,,,May duplicate df-docs content
guide/dreamfactory-book-v2/content/en/docs/Migrating Your System Database to a New Instance/_index.md,guide,Migrating Your System Database to a New Instance,Migrating your system database to a new instance,P3-Low,Not Started,,388,0,0,0,,,May duplicate df-docs content
guide/dreamfactory-book-v2/content/en/docs/Advanced Database API Features/_index.md,guide,Advanced Database API Features,Advanced database api features,P3-Low,Not Started,,1116,4,2,0,,,May duplicate df-docs content
guide/dreamfactory-book-v2/content/en/docs/Modifying the Service Definition/_index.md,guide,Modifying the Service Definition,Modifying the service definition,P3-Low,Not Started,,487,5,4,0,,,May duplicate df-docs content
guide/dreamfactory-book-v2/content/en/docs/Using the System APIs/_index.md,guide,Using the System APIs,Using the system apis,P3-Low,Not Started,,3028,0,3,0,,,May duplicate df-docs content
guide/dreamfactory-book-v2/content/en/docs/Introducing REST and DreamFactory/_index.md,guide,Introducing REST and DreamFactory,Introducing rest and dreamfactory,P3-Low,Not Started,,2666,1,2,0,,,May duplicate df-docs content
guide/dreamfactory-book-v2/content/en/docs/Authenticating Your APIs/_index.md,guide,Authenticating Your APIs,Authenticating your apis,P3-Low,Not Started,,5493,35,14,0,,,May duplicate df-docs content
guide/dreamfactory-book-v2/content/en/docs/Appendices/_index.md,guide,Appendices,Reference/Appendices,P3-Low,Not Started,,0,0,0,0,,,May duplicate df-docs content
guide/dreamfactory-book-v2/content/en/docs/Installing and Configuring DreamFactory/_index.md,guide,Installing and Configuring DreamFactory,Getting_Started/Installing and configuring dreamfactory,P3-Low,Not Started,,6113,18,52,0,,,May duplicate df-docs content
guide/dreamfactory-book-v2/content/en/docs/Creating Scripted Services and Endpoints/_index.md,guide,_index,Creating scripted services and endpoints,P3-Low,Not Started,,1199,0,0,0,,,May duplicate df-docs content
guide/dreamfactory-book-v2/content/en/docs/Integrating Business Logic Into Your APIs/_index.md,guide,Integrating Business Logic Into Your DreamFactory APIs,Integrating business logic into your apis,P3-Low,Not Started,,5744,4,27,0,,,May duplicate df-docs content
guide/dreamfactory-book-v2/content/en/docs/Limiting and Logging API Requests/_index.md,guide,Limiting and Logging API Requests,Limiting and logging api requests,P3-Low,Not Started,,3736,8,10,0,,,May duplicate df-docs content
guide/dreamfactory-book-v2/content/en/docs/Creating File System APIs/_index.md,guide,Creating File System APIs,Creating file system apis,P3-Low,Not Started,,1871,15,2,0,,,May duplicate df-docs content
guide/dreamfactory-book-v2/content/en/docs/Upgrade to PHP 8.1/_index.md,guide,Upgrade to PHP 8.1,Upgrade to php 8.1,P3-Low,Not Started,,2210,0,58,0,,,May duplicate df-docs content
guide/dreamfactory-book-v2/content/en/docs/Integrating with Version Control APIs/_index.md,guide,Integrating with Version Control APIs,Integrating with version control apis,P3-Low,Not Started,,533,5,3,0,,,May duplicate df-docs content
guide/dreamfactory-book-v2/content/en/docs/Installing DreamFactory on Raspberry Pi/_index.md,guide,Installing DreamFactory on a Raspberry Pi,Installing dreamfactory on raspberry pi,P3-Low,Not Started,,435,0,5,0,,,May duplicate df-docs content
guide/dreamfactory-book-v2/content/en/docs/Generating a Database-backed API/_index.md,guide,Generating a Database-backed API,Generating a database_Backed api,P3-Low,Not Started,,7503,20,9,0,,,May duplicate df-docs content
guide/dreamfactory-book-v2/content/en/docs/Performance Considerations/_index.md,guide,Performance Considerations,Performance considerations,P3-Low,Not Started,,1404,2,17,0,,,May duplicate df-docs content
guide/dreamfactory-book-v2/content/en/docs/Securing Your DreamFactory Environment/_index.md,guide,Securing Your DreamFactory Environment,Securing your dreamfactory environment,P3-Low,Not Started,,1202,1,9,0,,,May duplicate df-docs content
guide/dreamfactory-book-v2/content/en/docs/Appendices/B Security FAQ/_index.md,guide,Appendix B: Security FAQ,Reference/B security faq,P3-Low,Not Started,,1751,0,0,0,,,May duplicate df-docs content
guide/dreamfactory-book-v2/content/en/docs/Installing and Configuring DreamFactory/A Installing DreamFactory on Windows Server/_index.md,guide,_index,Getting_Started/A installing dreamfactory on windows server,P3-Low,Not Started,,2261,2,13,0,,,May duplicate df-docs content
mediawiki:page_id=1,mediawiki,Main Page,Legacy:Main_Page,P3-Low,Not Started,,0,0,0,0,,,Legacy wiki content - needs version classification
mediawiki:page_id=2,mediawiki,DreamFactory/Overview,Legacy:DreamFactory/Overview,P3-Low,Not Started,,0,0,0,0,,,Legacy wiki content - needs version classification
mediawiki:page_id=3,mediawiki,DreamFactory/Features,Legacy:DreamFactory/Features,P3-Low,Not Started,,0,0,0,0,,,Legacy wiki content - needs version classification
mediawiki:page_id=5,mediawiki,DFE/Overview,Legacy:DFE/Overview,P3-Low,Not Started,,0,0,0,0,,,Legacy wiki content - needs version classification
mediawiki:page_id=7,mediawiki,DFE/Console,Legacy:DFE/Console,P3-Low,Not Started,,0,0,0,0,,,Legacy wiki content - needs version classification
mediawiki:page_id=8,mediawiki,DFE/Dashboard,Legacy:DFE/Dashboard,P3-Low,Not Started,,0,0,0,0,,,Legacy wiki content - needs version classification
mediawiki:page_id=9,mediawiki,DFE/Data Collection,Legacy:DFE/Data_Collection,P3-Low,Not Started,,0,0,0,0,,,Legacy wiki content - needs version classification
mediawiki:page_id=10,mediawiki,DFE/Dashboard/Reports,Legacy:DFE/Dashboard/Reports,P3-Low,Not Started,,0,0,0,0,,,Legacy wiki content - needs version classification
mediawiki:page_id=11,mediawiki,DFE,Legacy:DFE,P3-Low,Not Started,,0,0,0,0,,,Legacy wiki content - needs version classification
mediawiki:page_id=12,mediawiki,DFE/Configuration,Legacy:DFE/Configuration,P3-Low,Not Started,,0,0,0,0,,,Legacy wiki content - needs version classification
mediawiki:page_id=13,mediawiki,DFE/Installation,Legacy:DFE/Installation,P3-Low,Not Started,,0,0,0,0,,,Legacy wiki content - needs version classification
mediawiki:page_id=17,mediawiki,DFE/Mounts,Legacy:DFE/Mounts,P3-Low,Not Started,,0,0,0,0,,,Legacy wiki content - needs version classification
mediawiki:page_id=18,mediawiki,DFE/Console/Command Line Utility,Legacy:DFE/Console/Command_Line_Utility,P3-Low,Not Started,,0,0,0,0,,,Legacy wiki content - needs version classification
mediawiki:page_id=19,mediawiki,DFE/Dashboard/Command Line Utility,Legacy:DFE/Dashboard/Command_Line_Utility,P3-Low,Not Started,,0,0,0,0,,,Legacy wiki content - needs version classification
mediawiki:page_id=21,mediawiki,DFE/Architecture/Database,Legacy:DFE/Architecture/Database,P3-Low,Not Started,,0,0,0,0,,,Legacy wiki content - needs version classification
mediawiki:page_id=23,mediawiki,DFE/Architecture/Database/Cluster,Legacy:DFE/Architecture/Database/Cluster,P3-Low,Not Started,,0,0,0,0,,,Legacy wiki content - needs version classification
mediawiki:page_id=24,mediawiki,DFE/Architecture/Database/ClusterServerAssign,Legacy:DFE/Architecture/Database/ClusterServerAssign,P3-Low,Not Started,,0,0,0,0,,,Legacy wiki content - needs version classification
mediawiki:page_id=25,mediawiki,DFE/Architecture/Database/InstanceServerAssign,Legacy:DFE/Architecture/Database/InstanceServerAssign,P3-Low,Not Started,,0,0,0,0,,,Legacy wiki content - needs version classification
mediawiki:page_id=26,mediawiki,DFE/Architecture,Legacy:DFE/Architecture,P3-Low,Not Started,,0,0,0,0,,,Legacy wiki content - needs version classification
mediawiki:page_id=27,mediawiki,DFE/Architecture/Software,Legacy:DFE/Architecture/Software,P3-Low,Not Started,,0,0,0,0,,,Legacy wiki content - needs version classification
mediawiki:page_id=28,mediawiki,DFE/Architecture/Software/Provisioning,Legacy:DFE/Architecture/Software/Provisioning,P3-Low,Not Started,,0,0,0,0,,,Legacy wiki content - needs version classification
mediawiki:page_id=30,mediawiki,DreamFactory/API,Legacy:DreamFactory/API,P3-Low,Not Started,,0,0,0,0,,,Legacy wiki content - needs version classification
mediawiki:page_id=31,mediawiki,DreamFactory/Apps,Legacy:DreamFactory/Apps,P3-Low,Not Started,,0,0,0,0,,,Legacy wiki content - needs version classification
mediawiki:page_id=32,mediawiki,DreamFactory/Installation,Legacy:DreamFactory/Installation,P3-Low,Not Started,,0,0,0,0,,,Legacy wiki content - needs version classification
mediawiki:page_id=35,mediawiki,DreamFactory/Tutorials,Legacy:DreamFactory/Tutorials,P3-Low,Not Started,,0,0,0,0,,,Legacy wiki content - needs version classification
mediawiki:page_id=37,mediawiki,DreamFactory/Tutorials/Querying records with logical filters,Legacy:DreamFactory/Tutorials/Querying_records_with_logical_filters,P3-Low,Not Started,,0,0,0,0,,,Legacy wiki content - needs version classification
mediawiki:page_id=40,mediawiki,DFE/Architecture/Software/Jobs,Legacy:DFE/Architecture/Software/Jobs,P3-Low,Not Started,,0,0,0,0,,,Legacy wiki content - needs version classification
mediawiki:page_id=41,mediawiki,DFE/Architecture/Storage,Legacy:DFE/Architecture/Storage,P3-Low,Not Started,,0,0,0,0,,,Legacy wiki content - needs version classification
mediawiki:page_id=42,mediawiki,DFE/Cookbook,Legacy:DFE/Cookbook,P3-Low,Not Started,,0,0,0,0,,,Legacy wiki content - needs version classification
mediawiki:page_id=45,mediawiki,DFE/Architecture/Database/Vendor,Legacy:DFE/Architecture/Database/Vendor,P3-Low,Not Started,,0,0,0,0,,,Legacy wiki content - needs version classification
mediawiki:page_id=46,mediawiki,DreamFactory/Features/Auth,Legacy:DreamFactory/Features/Auth,P3-Low,Not Started,,0,0,0,0,,,Legacy wiki content - needs version classification
mediawiki:page_id=47,mediawiki,DreamFactory/Tutorials/Querying records with an ID list,Legacy:DreamFactory/Tutorials/Querying_records_with_an_ID_list,P3-Low,Not Started,,0,0,0,0,,,Legacy wiki content - needs version classification
mediawiki:page_id=49,mediawiki,DreamFactory/Features/CORS,Legacy:DreamFactory/Features/CORS,P3-Low,Not Started,,0,0,0,0,,,Legacy wiki content - needs version classification
mediawiki:page_id=61,mediawiki,DFE/Clusters,Legacy:DFE/Clusters,P3-Low,Not Started,,0,0,0,0,,,Legacy wiki content - needs version classification
mediawiki:page_id=63,mediawiki,DFE/Instances,Legacy:DFE/Instances,P3-Low,Not Started,,0,0,0,0,,,Legacy wiki content - needs version classification
mediawiki:page_id=64,mediawiki,DFE/Servers,Legacy:DFE/Servers,P3-Low,Not Started,,0,0,0,0,,,Legacy wiki content - needs version classification
mediawiki:page_id=65,mediawiki,DFE/Architecture/Database/AppKey,Legacy:DFE/Architecture/Database/AppKey,P3-Low,Not Started,,0,0,0,0,,,Legacy wiki content - needs version classification
mediawiki:page_id=66,mediawiki,DFE/Architecture/Database/AuthReset,Legacy:DFE/Architecture/Database/AuthReset,P3-Low,Not Started,,0,0,0,0,,,Legacy wiki content - needs version classification
mediawiki:page_id=67,mediawiki,DFE/Architecture/Database/ClusterArchive,Legacy:DFE/Architecture/Database/ClusterArchive,P3-Low,Not Started,,0,0,0,0,,,Legacy wiki content - needs version classification
